iter	Passed	Remaining
0	59	29888
1	62	15573
2	65	10817
3	67	8408
4	69	6927
5	73	6051
6	75	5321
7	77	4774
8	79	4346
9	81	4004
10	83	3715
11	85	3474
12	87	3272
13	89	3103
14	91	2948
15	92	2811
16	94	2688
17	96	2583
18	98	2484
19	99	2394
20	101	2316
21	103	2243
22	104	2176
23	106	2114
24	108	2055
25	109	2002
26	111	1950
27	112	1904
28	114	1861
29	116	1819
30	117	1779
31	118	1735
32	120	1704
33	122	1673
34	123	1641
35	125	1611
36	126	1583
37	127	1555
38	129	1530
39	130	1506
40	133	1489
41	134	1468
42	136	1449
43	137	1429
44	139	1410
45	141	1392
46	142	1374
47	144	1356
48	145	1339
49	147	1329
50	149	1313
51	150	1298
52	152	1284
53	153	1270
54	155	1258
55	157	1247
56	158	1233
57	160	1221
58	161	1209
59	163	1198
60	164	1186
61	166	1174
62	167	1163
63	169	1152
64	170	1141
65	172	1132
66	173	1123
67	175	1114
68	177	1105
69	178	1096
70	180	1088
71	181	1079
72	183	1070
73	184	1062
74	185	1053
75	187	1046
76	189	1042
77	191	1034
78	192	1026
79	194	1019
80	195	1011
81	197	1004
82	198	997
83	199	990
84	201	983
85	202	976
86	204	970
87	206	964
88	207	958
89	209	952
90	210	946
91	212	941
92	213	935
93	215	929
94	216	923
95	218	918
96	219	912
97	221	907
98	222	902
99	224	897
100	225	891
101	227	886
102	228	881
103	230	876
104	231	870
105	232	865
106	234	860
107	235	856
108	237	851
109	238	847
110	240	843
111	242	838
112	243	833
113	245	829
114	246	825
115	247	820
116	249	816
117	250	812
118	252	809
119	254	806
120	256	802
121	257	798
122	259	794
123	260	791
124	262	787
125	263	783
126	265	779
127	267	776
128	268	772
129	270	769
130	271	765
131	273	762
132	275	759
133	276	755
134	278	753
135	280	749
136	281	746
137	283	742
138	284	739
139	286	735
140	287	732
141	289	729
142	290	725
143	292	722
144	293	719
145	295	716
146	296	713
147	298	709
148	299	706
149	301	703
150	303	700
151	304	697
152	306	694
153	307	691
154	309	688
155	310	685
156	312	682
157	314	679
158	315	676
159	317	673
160	318	670
161	320	668
162	321	665
163	323	662
164	324	659
165	326	656
166	327	653
167	329	650
168	330	647
169	332	644
170	333	642
171	335	639
172	336	636
173	338	633
174	339	630
175	341	627
176	342	625
177	344	622
178	345	619
179	347	617
180	348	614
181	350	611
182	351	608
183	353	606
184	354	603
185	356	601
186	357	598
187	358	595
188	360	593
189	361	590
190	363	588
191	364	585
192	366	582
193	367	580
194	369	578
195	371	576
196	372	573
197	374	571
198	375	568
199	377	566
200	378	563
201	380	561
202	381	558
203	383	556
204	384	553
205	386	551
206	387	549
207	389	546
208	390	544
209	392	541
210	393	539
211	395	537
212	396	534
213	398	532
214	399	529
215	401	527
216	402	525
217	404	523
218	405	520
219	407	518
220	409	516
221	410	514
222	412	512
223	413	509
224	415	507
225	416	505
226	418	502
227	419	500
228	421	498
229	422	495
230	423	493
231	425	491
232	427	489
233	429	487
234	430	485
235	432	483
236	433	481
237	435	479
238	436	477
239	438	474
240	439	472
241	441	470
242	442	468
243	444	466
244	445	463
245	447	461
246	448	459
247	450	457
248	451	455
249	454	454
250	455	451
251	456	449
252	458	447
253	459	445
254	461	443
255	462	441
256	464	439
257	465	437
258	467	434
259	468	432
260	470	430
261	472	429
262	474	427
263	475	425
264	477	423
265	478	421
266	480	418
267	481	416
268	483	414
269	484	412
270	486	410
271	487	408
272	489	406
273	490	404
274	492	402
275	493	400
276	495	398
277	496	396
278	498	394
279	499	392
280	501	390
281	503	388
282	504	386
283	505	384
284	507	382
285	508	380
286	510	378
287	512	376
288	513	374
289	514	372
290	516	370
291	517	368
292	519	367
293	520	365
294	522	363
295	523	361
296	525	359
297	526	357
298	528	355
